0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99,0,0,0,0,0,1,1,1,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,50,0
0,1,4,50,2,1,0,1,0,0,0,4,0,100,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
0,1,0,0,0,1,0,1,0,50,2,4,0,0,1,0,1,51,0,1,0,0,0,0,0,0,0,1,0,3,1,0
0,1,0,100,0,1,0,1,0,0,0,0,0,100,1,0,1,0,0,1,1,1,1,1,0,50,2,1,0,1,1,0
0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,100,1,0,1,3,1,1,0,0,1,0,1,3,0
0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,100,0,0,0,0,0,1,0,1,1,0
0,1,0,0,0,1,51,100,0,0,0,0,1,0,1,1,1,1,1,1,0,0,51,2,1,1,0,1,0,3,1,0
0,1,1,1,0,1,0,0,100,0,0,1,1,0,1,0,0,0,1,1,0,100,0,0,0,1,0,1,1,1,1,0
0,1,0,0,0,4,0,0,1,1,1,1,3,0,1,1,1,1,1,1,0,1,3,0,100,1,0,0,0,0,1,0
0,1,0,50,4,1,1,1,1,0,0,1,1,0,0,0,1,0,3,1,1,1,1,0,0,1,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,51,1,1,0,0,100,1,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0
0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,50,2,1,0
0,0,1,3,1,1,1,3,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,100,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,1,1,51,0,1,0,0,0,0,1,0
0,0,1,0,0,100,0,50,2,1,0,1,1,1,0,50,0,1,0,4,0,1,0,0,0,1,0,51,0,1,1,0
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,1,1,0,0,1,0,4,0,1,0,0
0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,51,0,1,1,4,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
